Image,PSNR,SSIM
020_fake_B.png,19.05377280699967,0.7067194865998437
026_fake_B.png,17.45773332150819,0.6610499268654288
028_fake_B.png,20.457593506417957,0.7611047629298998
049_fake_B.png,20.266001739024983,0.7823995402163769
063_fake_B.png,17.634361773528806,0.7326433543458348
087_fake_B.png,20.611650208590248,0.708169090323239
091_fake_B.png,17.154057663437825,0.7346320760326893
104_fake_B.png,18.114192035848596,0.7403842345853552
105_fake_B.png,20.08520040690553,0.7252234212444532
106_fake_B.png,19.096734878741866,0.7497265539690648
114_fake_B.png,19.501177217886994,0.7641296202101868
119_fake_B.png,19.14690361223462,0.7608565760682091
147_fake_B.png,19.832754782391422,0.7090247213341448
148_fake_B.png,19.294227516659838,0.7212521537707297
168_fake_B.png,21.446117923322557,0.7712995408082159
169_fake_B.png,18.664582608918423,0.7403385781667043
201_fake_B.png,19.452626955620214,0.7485327264436529
207_fake_B.png,22.036148814592146,0.7672051055870424
219_fake_B.png,21.057703800678112,0.7966534008136574
221_fake_B.png,17.637299721056003,0.7073939644239621
222_fake_B.png,19.501794671991792,0.7958561125744349
227_fake_B.png,20.580820889751447,0.7800271946663871
241_fake_B.png,20.87001753490977,0.7627886978183761
242_fake_B.png,21.641026893248608,0.7875628175127103
248_fake_B.png,20.855304626009264,0.7564251190819871
255_fake_B.png,21.26029727512983,0.7568139193990993
267_fake_B.png,20.387057184833353,0.7634831138689163
294_fake_B.png,16.41618974129254,0.7162978988585649
308_fake_B.png,18.62066569344527,0.790205337744441
362_fake_B.png,22.190694326877566,0.8025282273149797
365_fake_B.png,20.330385937327815,0.7509262896938149
372_fake_B.png,20.12489500372429,0.7886623070791151
379_fake_B.png,20.706843458893932,0.7641689387669238
385_fake_B.png,20.664547087756233,0.7854011437822251
386_fake_B.png,22.075924883967946,0.7951538195225024
403_fake_B.png,21.499903938370966,0.799083849553447
411_fake_B.png,20.626462836487146,0.7765677505413292
417_fake_B.png,22.208414808851877,0.8032657321675521
436_fake_B.png,20.30749127971734,0.7407908060290392
438_fake_B.png,23.247306753732037,0.8034764358922134
447_fake_B.png,17.520305280708737,0.7768579689759375
451_fake_B.png,19.94618031124194,0.8165683254998526
453_fake_B.png,18.41181258464603,0.763779494997225
470_fake_B.png,22.304383532642085,0.7612451841570772
476_fake_B.png,18.95984274336883,0.7538055854656852
478_fake_B.png,19.60150486188343,0.7320946766903162
482_fake_B.png,21.14560076842026,0.7687139347326967
494_fake_B.png,21.27691270591815,0.7280861345303481
496_fake_B.png,21.424068833667963,0.7633815921551271
498_fake_B.png,21.731645269119085,0.780641994866002
